知识点,题号,提问,单选题,多选题,判断题,是否给出解析
测试的概念,163,测试的概念,3,2,2,0
测试发展史,164,测试发展史,3,2,2,0
测试用例的概念,165,测试用例的概念,3,2,2,0
测试用例的要素,166,测试用例的要素,3,2,2,0
缺陷的概念,167,缺陷的概念,3,2,2,0
缺陷的分类,168,缺陷的分类,3,2,2,0
测试可追溯性原则,169,测试可追溯性原则,3,2,2,0
缺陷的聚集原则,170,缺陷的聚集原则,3,2,2,0
测试中的2-8原则,171,测试中的2-8原则,3,2,2,0
缺陷的放大原则,172,缺陷的放大原则,3,2,2,0
测试和调试的区别,173,测试和调试的区别,3,2,2,0
常见的测试错误认知,174,常见的测试错误认知,3,2,2,0
根据是否运行程序测试分类,175,根据是否运行程序测试分类,3,2,2,0
根据技术测试分类,176,根据技术测试分类,3,2,2,0
根据测试阶段测试分类,177,根据测试阶段测试分类,3,2,2,0
测试V模型的优缺点,178,测试V模型的优缺点,3,2,2,0
测试w模型的优缺点,179,测试w模型的优缺点,3,2,2,0
黑盒测试的概念,180,黑盒测试的概念,3,2,2,0
白盒测试的概念,181,白盒测试的概念,3,2,2,0
静态测试的概念,182,静态测试的概念,3,2,2,0
动态测试的概念,183,动态测试的概念,3,2,2,0
单元测试的概念,184,单元测试的概念,3,2,2,0
集成测试的概念,185,集成测试的概念,3,2,2,0
系统测试的概念,186,系统测试的概念,3,2,2,0
一般边界值测试方法的实践,187,一般边界值测试方法应用,3,2,2,0
健壮性的特点,188,健壮性的特点,3,2,2,0
健壮性边界值测试方法的实践,189,健壮性边界值测试方法的应用,3,2,2,0
最坏情况测试方法的实践,190,最坏情况测试方法的应用,3,2,2,0
健壮性最坏情况测试方法的实践,191,健壮性最坏情况测试方法的应用,3,2,2,0
随机数测试方法的实践,192,随机数测试方法的应用场景,3,2,2,0
特征值测试方法的实践,193,特征值测试方法的应用场景,3,2,2,0
划分的概念,194,划分的概念,3,2,2,0
划分的特点,195,划分的特点,3,2,2,0
等价类的特点,196,等价类的特点,3,2,2,0
等价类测试分类,197,等价类测试分类,3,2,2,0
弱等价类测试方法的实践,198,弱等价类测试方法的应用,3,2,2,0
弱健壮性等价类测试方法的实践,199,弱健壮性等价类测试方法的应用,3,2,2,0
强等价类测试方法的实践,200,强等价类测试方法的应用,3,2,2,0
强健壮性等价类测试方法的实践,201,强健壮性等价类测试方法的应用,3,2,2,0
等价类划分策略,202,等价类划分策略,3,2,2,0
性能测试的概念,203,性能测试的概念,3,2,2,0
并发用户及并发用户数的定义及计算方法,204,并发用户及并发用户数的定义及计算方法,3,2,2,0
在线用户的定义及与并发用户的区别,205,在线用户的定义及与并发用户的区别,3,2,2,0
注册用户的定义及与并发用户的区别,206,注册用户的定义及与并发用户的区别,3,2,2,0
响应时间的组成部分,207,响应时间的组成部分,3,2,2,0
性能测试的指标及其内容,208,性能测试的指标及其内容,3,2,2,0
服务器性能影响因素,209,服务器性能影响因素,3,2,2,0
服务器性能的关键指标及其内容,210,服务器性能的关键指标及其内容,3,2,2,0
常见的功能自动化测试工具及特点,211,常见的功能自动化测试工具及特点,3,2,2,0
