知识点,题号,提问,单选题,多选题,判断题,是否给出解析
操作系统的特征,21,操作系统的特征,3,2,2,0
操作系统的分类,22,操作系统的分类,3,2,2,0
常见的应用软件的分类,23,常见的应用软件的分类,3,2,2,0
计算机语言的分类（面向对象和面向过程）,24,计算机语言的分类情况,3,2,2,0
主要的面向对象的设计语言及其特点,25,主要的面向对象的设计语言及其特点,3,2,2,0
常用计算机数据结构类型,26,常用计算机数据结构类型,3,2,2,0
常见的计算机算法及应用场景,27,常见的计算机算法及应用场景,3,2,2,0
软件生命周期,28,软件生命周期,3,2,2,0
信息系统的运行与维护包含的主要内容,29,信息系统的运行与维护包含的主要内容,3,2,2,0
共享软件的概念及特点,30,共享软件的概念及特点,3,2,2,0
免费软件的概念及特点,31,免费软件的概念及特点,3,2,2,0
计算机网络的功能,32,计算机网络的功能,3,2,2,0
计算机网络分类及其特点,33,计算机网络分类及其特点,3,2,2,0
TCP/UDP的区别,34,TCP/UDP的区别,3,2,2,0
HTTP/HTTPS的区别,35,HTTP/HTTPS的区别,3,2,2,0
计算机网络通信结构,36,计算机网络通信结构,3,2,2,0
移动终端的概念，及设备类型,37,移动终端的概念，及设备类型,3,2,2,0
移动终端的特点,38,移动终端的特点,3,2,2,0
移动终端的应用领域,39,移动终端的应用领域,3,2,2,0
常见的移动终端操作系统,40,常见的移动终端操作系统,3,2,2,0
常见的移动终端应用类型,41,常见的移动终端应用类型,3,2,2,0
移动应用开发的方式及其特征,42,移动应用开发的方式及其特征,3,2,2,0
信息安全3要素及其具体内容,43,信息安全3要素及其具体内容,3,2,2,0
安全保护等级及其要求,44,安全保护等级及其要求,3,2,2,0
密钥、明文/密文、加密/解密的概念,45,密钥、明文、密文、加密、解密的概念,3,2,2,0
常见的古典加密算法,46,常见的古典加密算法,3,2,2,0
常见的对称算法及应用场景,47,常见的对称算法,3,2,2,0
常见的对称算法及应用场景,48,常见的对称算法的应用场景,3,2,2,0
常见的非对称加密算法及应用场景,49,常见的非对称加密算法,3,2,2,0
常见的非对称加密算法及应用场景,50,常见的非对称加密算法的应用场景,3,2,2,0
安全保密相关知识,51,安全保密相关知识,3,2,2,0
计算机用电常识,52,计算机用电常识,3,2,2,0
