知识点,题号,提问,单选题,多选题,判断题,是否给出解析
计算机数据安全、网络安全相关法律、法规,53,计算机数据安全、网络安全相关法律、法规,3,2,2,0
计算机软件保护、知识产权及软件著作权相关法律法规,54,计算机软件保护、知识产权及软件著作权相关法律法规,3,2,2,0
需求规格说明书的内容,55,需求规格说明书的内容,3,2,2,0
用户需求（User Story）的概念,56,用户需求的概念,3,2,2,0
Use Case（用例）的概念,57,Use Case（用例）的概念,3,2,2,0
用户需求和软件需求的区别,58,用户需求和软件需求的区别,3,2,2,0
用户故事和用例之间的区别,59,用户故事和用例之间的区别,3,2,2,0
用例图的概念,60,用例图的概念,3,2,2,0
用例图的绘制图形元素,61,用例图的绘制图形元素,3,2,2,0
活动图的概念,62,活动图的概念,3,2,2,0
活动图的图形元素,63,活动图的图形元素,3,2,2,0
活动图和用例图主要应用场景,64,活动图和用例图主要应用场景,3,2,2,0
根据用户故事绘制用例图,65,根据用户故事绘制用例图,3,2,2,0
根据用户故事绘制活动图,66,根据用户故事绘制活动图,3,2,2,0
用例图的常见绘制错误,67,用例图的常见绘制错误,3,2,2,0
活动图的常见绘制错误,68,活动图的常见绘制错误,3,2,2,0
判断流程图的规则规范性,69,判断流程图的规则规范性,3,2,2,0
根据描述绘制程序流程,70,根据描述绘制程序流程,3,2,2,0
IDE开发工具的全称及其包含的核心功能,71,IDE开发工具的全称,1,1,1,0
IDE开发工具的全称及其包含的核心功能,72,IDE开发工具包含的核心功能,2,1,1,0
常见的JAVA程序设计IDE工具及特点,73,常见的JAVA程序设计IDE工具及特点,3,2,2,0
常见的PYTHON程序设计IDE工具及特点,74,常见的PYTHON程序设计IDE工具及特点,3,2,2,0
常见的WEB前端程序设计IDE工具及特点,75,常见的WEB前端程序设计IDE工具及特点,3,2,2,0
桌面端软件开发工具,76,常见的桌面端软件开发工具,3,2,2,0
桌面端软件开发视图,77,桌面端软件开发常见的视图,3,2,2,0
桌面端软件开发状态栏和工具栏,78,桌面端软件开发状态栏和工具栏包含的内容及作用,3,2,2,0
桌面端软件开发菜单,79,桌面端软件开发菜单的作用及功能,3,2,2,0
桌面端软件常用组件和组件库,80,桌面端软件常用组件和组件库,3,2,2,0
桌面端软件界面布局,81,桌面端软件界面布局方式,3,2,2,0
桌面端软件字符串和字符编码,82,桌面端软件字符串操作,2,1,1,0
桌面端软件字符串和字符编码,83,文件字符编码类型,2,1,1,0
桌面端软件文件操作,84,桌面端软件文件操作类型,2,1,1,0
桌面端软件文件操作,85,桌面端软件文件操作流程,2,1,1,0
桌面端软件数据库操作,86,桌面端软件数据库连接方式,2,1,1,0
桌面端软件数据库操作,87,桌面端软件数据库连接字符串,2,1,1,0
桌面端软件事件处理,88,桌面端软件键盘响应事件类型,2,1,1,0
桌面端软件事件处理,89,桌面端软件鼠标响应事件类型,2,1,1,0
正则表达式的基本概念,90,正则表达式的基本概念,3,2,2,0
Web应用中的两种协议（XML/JSON）的应用,91,Web应用中的两种协议（XML/JSON）的应用,3,2,2,0
HTML基本概念,92,HTML基本概念,3,2,2,0
HTML内联标签应用,93,HTML内联标签应用,3,2,2,0
HTML头部/连接的内容,94,HTML头部/连接的内容,3,2,2,0
HTML多媒体元素的应用,95,HTML多媒体元素的应用,3,2,2,0
HTML字符集/块标签的应用,96,HTML字符集/块标签的应用,3,2,2,0
HTML引用CSS/JavaScript的方法,97,HTML引用CSS/JavaScript的方法,3,2,2,0
MVVM框架基本概念,98,MVVM框架基本概念,3,2,2,0
CSS基本概念,99,CSS基本概念,3,2,2,0
CSS选择器的应用,100,CSS选择器的应用,3,2,2,0
CSS边框和边距的用法,101,CSS边框和边距的用法,3,2,2,0
CSS字体/文本的用法,102,CSS字体和文本的用法,3,2,2,0
CSS单位/布局的用法,103,CSS单位和布局的用法,3,2,2,0
CSS伪类的用法,104,CSS伪类的用法,3,2,2,0
CSS背景/颜色的应用,105,CSS背景/颜色的应用,3,2,2,0
JavaScript基本概念,106,JavaScript基本概念,3,2,2,0
JavaScript变量和常量,107,JavaScript变量和常量,3,2,2,0
JavaScript语法基本结构,108,JavaScript语法基本结构,3,2,2,0
JavaScript表达式和运算符,109,JavaScript表达式和运算符,3,2,2,0
JavaScript 数据类型,110,JavaScript 数据类型,3,2,2,0
JavaScript对象的使用,111,JavaScript对象的使用,3,2,2,0
JavaScript事件处理,112,JavaScript事件处理,3,2,2,0
web1.0、2.0、3.0区别,113,web1.0、2.0、3.0区别,3,2,2,0
B/S和C/S结构的概念及其特点,114,B/S和C/S结构的概念及其特点,3,2,2,0
网站的工作流程,115,网站的工作流程,3,2,2,0
网站的开发模式,116,网站的开发模式,3,2,2,0
